id_commande;date;heure_de_depart;pickup_lng;pickup_lat;dropoff_lng;dropoff_lat;nbPax;tstype
cmd1;01/01/2013;00:00;-73.99078399999999;40.76088;-73.954185;40.778847;1;pickUpMinDateTime
cmd2;01/01/2013;00:00;-73.989616;40.729988;-74.013779;40.705036;1;pickUpMinDateTime
cmd3;01/01/2013;00:00;-73.981575;40.767632;-73.977737;40.757927;2;pickUpMinDateTime
cmd4;01/01/2013;00:00;-74.00052600000001;40.737343;-73.977226;40.783607;4;pickUpMinDateTime
cmd5;01/01/2013;00:00;-73.955925;40.781887;-73.963181;40.777832000000004;3;pickUpMinDateTime
cmd6;01/01/2013;00:00;-73.99987800000001;40.743342999999996;-74.00370799999999;40.74828;1;pickUpMinDateTime
cmd7;01/01/2013;00:00;-73.98984499999999;40.758041;-73.972008;40.757069;3;pickUpMinDateTime
cmd8;01/01/2013;00:00;-73.870834;40.773769;-73.792358;40.771759;1;pickUpMinDateTime
cmd9;01/01/2013;00:00;-74.006218;40.723797;-73.95837399999999;40.759762;1;pickUpMinDateTime
cmd10;01/01/2013;00:00;-73.976761;40.759190000000004;-73.940315;40.799;1;pickUpMinDateTime
cmd11;01/01/2013;00:00;-73.95411700000001;40.778343;-73.94181800000001;40.795479;2;pickUpMinDateTime
cmd12;01/01/2013;00:00;-74.00173199999999;40.719387;-73.995857;40.748917;2;pickUpMinDateTime
cmd13;01/01/2013;00:00;-73.985603;40.744263000000004;-73.969627;40.757374;4;pickUpMinDateTime
cmd14;01/01/2013;00:00;-73.99613199999999;40.739567;-74.004288;40.750999;3;pickUpMinDateTime
cmd15;01/01/2013;00:00;-73.99295;40.733986;-73.968025;40.680325;1;pickUpMinDateTime
cmd16;01/01/2013;00:00;-73.984871;40.753723;-73.98384899999999;40.754467;1;pickUpMinDateTime
cmd17;01/01/2013;00:00;-73.970512;40.794228000000004;-74.29879;40.987392;2;pickUpMinDateTime
cmd18;01/01/2013;00:00;-73.987488;40.760181;-73.97120699999999;40.75803;1;pickUpMinDateTime
cmd19;01/01/2013;00:00;-73.998581;40.755333;-73.994576;40.760796;1;pickUpMinDateTime
